freq,word
3,stately
20,plump
114,buck
151,mulligan
197,came
1087,from
14934,the
3,stairhead
25,bearing
6502,a
14,bowl
8141,of
4,lather
2109,on
518,which
43,mirror
7214,and
7,razor
68,lay
26,crossed
50,yellow
1,dressinggown
2,ungirdled
2133,was
11,sustained
38,gently
146,behind
1523,him
12,mild
117,morning
115,air
4032,he
61,held
5,aloft
1,intoned
2,introibo
36,ad
2,altare
2,dei
36,halted
12,peered
452,down
127,dark
11,winding
18,stairs
88,called
898,out
1,coarsely
270,come
827,up
30,kinch
1890,you
2,fearful
9,jesuit
11,solemnly
75,forward
4,mounted
239,round
4,gunrest
4,faced
534,about
46,blessed
21,gravely
4,thrice
26,tower
2,surrounding
83,land
2,awaking
7,mountains
579,then
1,catching
34,sight
504,stephen
174,dedalus
39,bent
120,towards
182,made
5,rapid
3,crosses
4926,in
4,gurgling
3330,his
19,throat
13,shaking
222,head
2,displeased
8,sleepy
14,leaned
91,arms
34,top
17,staircase
110,looked
5,coldly
1288,at
235,face
2606,that
4,equine
455,its
10,length
113,light
1,untonsured
122,hair
1,grained
1,hued
731,like
18,pale
5,oak
3,peeped
655,an
37,instant
224,under
20,covered
7,smartly
362,back
4959,to
5,barracks
1208,said
9,sternly
38,added
2,preachers
25,tone
1937,for
446,this
373,o
2,dearly
5,beloved
1435,is
7,genuine
1,christine
72,body
66,soul
52,blood
2,ouns
37,slow
76,music
45,please
31,shut
487,your
329,eyes
5,gents
704,one
86,moment
290,little
36,trouble
316,those
163,white
1,corpuscles
36,silence
1319,all
23,sideways
124,gave
236,long
15,whistle
112,call
6,paused
16,awhile
4,rapt
30,attention
125,even
46,teeth
6,glistening
280,here
704,there
2514,with
93,gold
47,points
2,chrysostomos
389,two
32,strong
10,shrill
4,whistles
66,answered
248,through
11,calm
44,thanks
489,old
55,chap
81,cried
8,briskly
347,will
435,do
8,nicely
4,switch
368,off
5,current
2,skipped
3,watcher
9,gathering
30,legs
34,loose
6,folds
11,gown
3,shadowed
2,sullen
8,oval
3,jowl
2,recalled
2,prelate
5,patron
8,arts
32,middle
16,ages
20,pleasant
45,smile
30,broke
33,quietly
443,over
88,lips
9,mockery
2356,it
14,gaily
8,absurd
217,name
34,ancient
21,greek
16,pointed
38,finger
11,friendly
6,jest
182,went
9,parapet
59,laughing
222,himself
17,stepped
54,followed
2,wearily
2,halfway
41,sat
14,edge
23,watching
195,still
1187,as
5,propped
5,dipped
11,brush
2,lathered
19,cheeks
49,neck
12,mulligans
20,gay
177,voice
838,my
442,too
26,malachi
1,dactyls
696,but
289,has
2,hellenic
34,ring
9,hasnt
5,tripping
4,sunny
425,we
221,must
233,go
1,athens
542,if
2685,i
205,can
256,get
20,aunt
14,fork
29,twenty
23,quid
52,laid
32,aside
13,delight
1,jejune
2,ceasing
50,began
7,shave
45,care
176,tell
942,me
359,yes
160,love
272,how
64,haines
199,going
15,stay
20,showed
5,shaven
21,cheek
238,right
33,shoulder
218,god
33,isnt
11,dreadful
7,frankly
4,ponderous
6,saxon
27,thinks
85,youre
893,not
88,gentleman
100,these
104,bloody
28,english
2,bursting
105,money
1,indigestion
217,because
62,comes
8,oxford
327,know
694,have
33,real
25,manner
82,cant
173,make
127,best
1,knifeblade
5,shaved
5,warily
12,chin
3,raving
232,night
146,black
7,panther
309,where
1,guncase
2,woful
5,lunatic
528,were
2,funk
5,energy
7,growing
38,fear
413,man
215,dont
4,moaning
7,shooting
17,saved
138,men
12,drowning
202,im
17,hero
44,however
12,stays
162,am
9,frowned
3,razorblade
1,hopped
5,perch
10,search
5,trouser
27,pockets
4,hastily
1,scutter
4,thickly
2,thrusting
305,hand
330,into
76,stephens
20,upper
76,pocket
10,lend
253,us
4,loan
2,noserag
6,wipe
9,suffered
20,pull
54,hold
76,show
1268,by
89,corner
24,dirty
7,crumpled
25,handkerchief
11,wiped
9,neatly
7,gazing
6,bards
154,new
48,art
24,colour
290,our
117,irish
14,poets
3,snotgreen
31,almost
19,taste
245,again
25,gazed
116,dublin
25,bay
60,fair
1,oakpale
4,stirring
20,slightly
103,sea
894,what
2,algy
43,calls
127,great
74,sweet
121,mother
1,scrotumtightening
2,epi
3,oinopa
3,ponton
86,ah
7,greeks
9,teach
118,read
672,them
20,original
2,thalatta
1135,she
198,look
89,stood
11,leaning
121,water
4,mailboat
3,clearing
1,harbourmouth
7,kingstown
12,mighty
134,turned
7,abruptly
68,grey
4,searching
20,killed
191,thats
192,why
61,wont
202,let
88,anything
45,someone
1785,her
2,gloomily
311,could
14,knelt
44,damn
554,when
36,dying
187,asked
1,hyperborean
164,much
143,think
6,begging
183,last
59,breath
10,kneel
36,pray
3,refused
178,something
5,sinister
25,lightly
20,farther
1,tolerant
7,curled
77,lovely
4,mummer
11,murmured
1,loveliest
3,evenly
7,seriously
14,elbow
9,rested
1,jagged
3,granite
16,palm
128,against
24,brow
1,fraying
5,shiny
2,coatsleeve
19,pain
82,yet
2,fretted
125,heart
17,silently
20,dream
814,had
428,after
82,death
2,wasted
41,within
59,brown
2,graveclothes
26,giving
16,odour
13,wax
3,rosewood
131,upon
14,mute
3,reproachful
11,faint
5,wetted
13,ashes
64,across
1,threadbare
1,cuffedge
160,saw
3,hailed
1,wellfed
45,beside
2,skyline
26,dull
98,green
28,mass
9,liquid
8,china
4,deathbed
38,holding
2,sluggish
2,bile
11,torn
1,rotting
14,liver
6,fits
24,loud
3,groaning
1,vomiting
186,poor
4,dogsbody
105,kind
170,give
30,shirt
76,few
1,noserags
533,are
5,secondhand
1,breeks
1019,they
16,fit
294,well
70,enough
1,attacked
14,hollow
23,beneath
2,underlip
1,contentedly
1,secondleg
82,should
878,be
72,knows
1,poxy
1,bowsy
165,left
44,pair
1,stripe
31,youll
2,spiffing
4,joking
24,dressed
26,wear
144,told
5,etiquette
7,kills
51,trousers
24,folded
2,stroking
1,palps
63,fingers
61,felt
10,smooth
35,skin
36,gaze
1,smokeblue
2,mobile
136,fellow
20,ship
473,says
16,g
81,p
194,hes
1,dottyville
2,connolly
5,norman
45,general
2,paralysis
2,insane
7,swept
122,half
20,circle
12,flash
5,tidings
6,abroad
14,sunlight
441,now
6,radiant
6,curling
39,laughed
3,edges
3,glittering
35,laughter
4,seized
1,wellknit
7,trunk
38,yourself
8,bard
4,cleft
15,crooked
11,crack
77,end
70,others
432,see
485,who
6,chose
7,rid
3,vermin
5,asks
2,pinched
1,skivvys
51,room
103,does
174,always
12,keeps
1,plainlooking
9,servants
12,lead
1,temptation
2,ursula
82,brought
179,away
9,peering
5,rage
3,caliban
31,seeing
5,wilde
253,only
19,alive
16,drawing
21,pointing
5,bitterness
8,symbol
10,cracked
4,lookingglass
12,servant
39,suddenly
11,linked
53,arm
77,walked
3,clacking
13,thrust
3,tease
11,kindly
314,more
28,spirit
169,than
191,any
1,parried
4,fears
1,lancet
63,cold
18,steel
16,pen
1,oxy
5,downstairs
46,touch
13,guinea
3,stinking
12,tin
10,selling
1,jalap
1,zulus
958,or
315,some
6,swindle
312,other
61,work
58,together
176,might
22,island
1,hellenise
4,cranlys
116,having
14,beg
4,swine
10,trust
65,nose
45,makes
21,noise
178,ill
47,bring
8,seymour
2,ragging
31,worse
2,clive
1,kempthorpe
192,young
14,shouts
2,moneyed
27,voices
1,kempthorpes
12,rooms
2,palefaces
720,their
8,ribs
4,clasping
123,another
66,shall
2,expire
17,break
17,news
1,aubrey
37,die
4,slit
4,ribbons
3,whipping
2,hops
2,hobbles
76,table
23,heels
3,chased
1,ades
2,magdalen
2,tailors
5,shears
5,scared
3,calfs
5,gilded
1,marmalade
149,want
1,debagged
48,play
9,giddy
4,ox
108,open
68,window
1,startling
64,evening
1,quadrangle
10,deaf
4,gardener
3,aproned
5,masked
8,matthew
2,arnolds
2,pushes
1,mower
3,sombre
11,lawn
1,narrowly
20,dancing
1,motes
2,grasshalms
10,ourselves
1,paganism
4,omphalos
111,theres
100,nothing
40,wrong
21,except
5,impatiently
9,cough
85,quite
8,frank
114,looking
4,blunt
7,cape
4,bray
6,snout
13,sleeping
3,whale
4,freed
33,wish
75,remember
39,spoke
62,wind
97,passed
12,fanning
33,softly
2,uncombed
40,silver
2,anxiety
1,depressed
154,own
278,first
249,day
171,house
28,mothers
54,quickly
9,ideas
5,sensations
20,happened
45,making
67,tea
7,landing
51,hot
3,visitor
5,drawingroom
404,did
264,say
42,forget
46,whose
7,beastly
124,dead
8,flush
13,seem
11,younger
2,engaging
67,rose
17,harm
22,shook
1,constraint
5,nervously
19,yours
10,pop
141,every
10,mater
7,richmond
48,cut
3,tripes
1,dissectingroom
199,thing
39,else
57,simply
40,doesnt
64,matter
98,wouldnt
8,cursed
9,strain
2,injected
276,way
2,cerebral
2,lobes
2,functioning
27,doctor
219,sir
23,peter
1,teazle
6,picks
1,buttercups
3,quilt
9,humour
134,till
1,sulk
1,whinge
3,hired
1,lalouettes
114,suppose
114,didnt
73,mean
3,offend
37,memory
16,spoken
2,boldness
1,shielding
11,gaping
4,wounds
116,words
226,very
45,thinking
8,offence
9,swung
16,heel
6,impossible
50,person
7,exclaimed
21,post
4,headland
11,grew
6,dim
2,pulses
9,beating
2,veiling
8,fever
30,loudly
122,coming
1,offences
4,chuck
2,loyola
2,sassenach
46,wants
2,rashers
12,level
4,roof
1,mope
2,inconsequent
2,moody
3,brooding
6,vanished
3,drone
4,descending
4,boomed
647,no
68,turn
9,brood
34,loves
11,bitter
13,mystery
4,fergus
9,rules
6,brazen
2,cars
1,woodshadows
8,floated
22,peace
2,seaward
1,inshore
2,whitened
7,spurned
1,lightshod
4,hurrying
82,feet
29,breast
5,twining
1,stresses
3,plucking
1,harpstrings
1,merging
18,chords
1,wavewhite
2,wedded
4,shimmering
19,tide
13,cloud
12,cover
76,sun
71,slowly
5,wholly
2,shadowing
2,deeper
36,waters
37,song
34,sang
50,alone
139,door
66,wanted
128,hear
47,silent
5,awe
36,pity
3,bedside
10,crying
6,wretched
104,bed
13,secrets
1,featherfans
3,tasselled
1,dancecards
5,powdered
1,musk
1,gaud
3,amber
2,beads
12,locked
11,drawer
1,birdcage
17,hung
88,girl
127,heard
1,royce
40,sing
4,pantomime
3,turko
23,terrible
